Stkcd,Trddt,INST,Trdmnt,Year,Month
22,2016-12-31,76.338097,2016-12,2016,12
22,2017-03-31,75.329102,2017-03,2017,3
22,2017-06-30,75.783302,2017-06,2017,6
22,2017-09-30,75.400002,2017-09,2017,9
24,2009-03-31,19.3794,2009-03,2009,3
24,2009-06-30,88.978203,2009-06,2009,6
24,2009-09-30,13.0647,2009-09,2009,9
24,2009-12-31,74.301697,2009-12,2009,12
24,2010-03-31,9.4345999,2010-03,2010,3
24,2010-06-30,71.039597,2010-06,2010,6
24,2010-09-30,8.4396,2010-09,2010,9
24,2010-12-31,71.958,2010-12,2010,12
24,2011-03-31,13.2108,2011-03,2011,3
24,2011-06-30,77.820503,2011-06,2011,6
24,2011-09-30,15.4725,2011-09,2011,9
24,2011-12-31,79.265602,2011-12,2011,12
24,2012-03-31,15.9806,2012-03,2012,3
24,2012-06-30,79.820801,2012-06,2012,6
24,2012-09-30,16.035801,2012-09,2012,9
24,2012-12-31,79.246597,2012-12,2012,12
24,2013-03-31,62.456001,2013-03,2013,3
24,2013-06-30,76.093102,2013-06,2013,6
24,2013-12-31,72.197502,2013-12,2013,12
24,2014-03-31,62.595501,2014-03,2014,3
24,2014-06-30,67.583504,2014-06,2014,6
24,2014-09-30,63.329601,2014-09,2014,9
24,2014-12-31,73.979698,2014-12,2014,12
24,2015-03-31,61.9902,2015-03,2015,3
25,2015-03-31,78.419899,2015-03,2015,3
25,2015-09-30,76.190002,2015-09,2015,9
25,2015-12-31,75.793098,2015-12,2015,12
25,2016-03-31,78.32,2016-03,2016,3
25,2016-06-30,77.365303,2016-06,2016,6
25,2016-09-30,76.209999,2016-09,2016,9
25,2016-12-31,74.772301,2016-12,2016,12
25,2017-03-31,74.239998,2017-03,2017,3
25,2017-06-30,74.046898,2017-06,2017,6
25,2017-09-30,73.435997,2017-09,2017,9
25,2017-12-31,73.636902,2017-12,2017,12
25,2018-03-31,73.660004,2018-03,2018,3
25,2018-06-30,73.901299,2018-06,2018,6
25,2018-09-30,72.660004,2018-09,2018,9
25,2018-12-31,72.036499,2018-12,2018,12
25,2019-03-31,70.599998,2019-03,2019,3
25,2019-06-30,70.467697,2019-06,2019,6
25,2019-09-30,68.739998,2019-09,2019,9
25,2019-12-31,68.845703,2019-12,2019,12
26,2010-06-30,66.803596,2010-06,2010,6
26,2010-12-31,70.541496,2010-12,2010,12
26,2011-03-31,8.6865997,2011-03,2011,3
26,2011-06-30,73.506104,2011-06,2011,6
26,2011-09-30,14.4946,2011-09,2011,9
26,2011-12-31,81.485497,2011-12,2011,12
26,2012-03-31,15.866,2012-03,2012,3
26,2012-06-30,71.104301,2012-06,2012,6
26,2012-09-30,17.890499,2012-09,2012,9
26,2012-12-31,67.435501,2012-12,2012,12
26,2019-12-31,37.8867,2019-12,2019,12
27,2009-03-31,5.6357002,2009-03,2009,3
27,2009-06-30,79.106499,2009-06,2009,6
27,2009-09-30,3.1561999,2009-09,2009,9
27,2009-12-31,77.223602,2009-12,2009,12
27,2010-03-31,2.4260001,2010-03,2010,3
27,2010-06-30,76.066902,2010-06,2010,6
27,2010-09-30,2.345,2010-09,2010,9
27,2010-12-31,75.421898,2010-12,2010,12
27,2011-03-31,74.501999,2011-03,2011,3
27,2011-06-30,76.028099,2011-06,2011,6
27,2011-09-30,75.059998,2011-09,2011,9
27,2011-12-31,77.042,2011-12,2011,12
27,2012-03-31,75.107002,2012-03,2012,3
27,2012-06-30,77.745903,2012-06,2012,6
27,2012-09-30,75.815201,2012-09,2012,9
27,2012-12-31,76.6427,2012-12,2012,12
27,2013-03-31,75.523697,2013-03,2013,3
