"Symbol","EndDate","InsInvestorProp"
"000018","2014-06-30","52.4300"
"000018","2014-09-30","52.4300"
"000018","2014-12-31","57.9479"
"000018","2015-03-31","54.6960"
"000018","2015-06-30","58.3028"
"000018","2015-09-30","24.7206"
"000018","2015-12-31","39.6734"
"000018","2016-03-31","40.0417"
"000018","2016-06-30","30.8588"
"000018","2016-09-30","29.4850"
"000018","2016-12-31","30.6158"
"000018","2017-03-31","24.2155"
"000018","2017-06-30","22.5316"
"000018","2017-09-30","21.2763"
"000018","2017-12-31","21.2943"
"000018","2018-03-31","18.7650"
"000018","2018-06-30","15.4546"
"000018","2018-09-30","15.6460"
"000018","2018-12-31","15.3524"
"000018","2019-03-31","15.2100"
"000018","2019-06-30","15.2344"
"000018","2019-09-30","15.2100"
"000019","2009-03-31","11.5660"
"000019","2009-06-30","56.0400"
"000019","2009-09-30","9.5870"
"000019","2009-12-31","52.2300"
"000019","2010-03-31","42.2200"
"000019","2010-06-30","54.2171"
"000019","2010-09-30","42.3200"
"000019","2010-12-31","51.7324"
"000019","2011-03-31","40.3930"
"000019","2011-06-30","35.7288"
"000019","2011-09-30","30.5790"
"000019","2011-12-31","55.3775"
"000019","2012-03-31","30.1810"
"000019","2012-06-30","54.9750"
"000019","2012-09-30","48.9150"
"000019","2012-12-31","50.2204"
"000019","2013-03-31","48.7140"
"000019","2013-06-30","49.0762"
"000019","2013-09-30","45.6910"
"000019","2013-12-31","46.4010"
"000019","2014-03-31","47.3640"
"000019","2014-06-30","48.4819"
"000019","2014-09-30","46.2800"
"000019","2014-12-31","48.1560"
"000019","2015-03-31","48.5626"
"000019","2015-06-30","39.9859"
"000019","2015-09-30","43.7439"
"000019","2015-12-31","37.0348"
"000019","2016-03-31","36.0700"
"000019","2016-06-30","35.4395"
"000019","2016-09-30","35.6600"
"000019","2016-12-31","35.9153"
"000019","2017-03-31","35.7600"
"000019","2017-06-30","35.7710"
"000019","2017-09-30","35.7400"
"000019","2017-12-31","35.7487"
"000019","2018-03-31","35.7411"
"000019","2018-06-30","35.4315"
"000019","2018-09-30","35.3960"
"000019","2018-12-31","72.5300"
"000019","2019-03-31","72.3400"
"000019","2019-06-30","72.4355"
"000019","2019-09-30","72.2500"
"000019","2019-12-31","72.2160"
"000020","2009-03-31","10.7610"
"000020","2009-06-30","57.9620"
"000020","2009-09-30","11.5480"
"000020","2009-12-31","58.4620"
"000020","2010-03-31","10.9700"
"000020","2010-06-30","57.9620"
"000020","2010-09-30","11.3340"
"000020","2010-12-31","57.9610"
"000020","2011-03-31","10.9640"
"000020","2011-06-30","58.1209"
"000020","2011-09-30","10.9660"
"000020","2011-12-31","58.0356"
"000020","2012-03-31","10.9660"
"000020","2012-06-30","57.7520"
"000020","2012-09-30","10.7610"
"000020","2012-12-31","51.6300"
"000020","2013-03-31","51.6300"
"000020","2013-06-30","52.1960"
"000020","2013-09-30","51.8400"
"000020","2013-12-31","52.0850"
"000020","2014-03-31","52.2511"
"000020","2014-06-30","51.9000"
"000020","2014-09-30","51.9000"
"000020","2014-12-31","51.9000"
"000020","2015-03-31","52.1400"
"000020","2015-06-30","53.8308"
"000020","2015-09-30","52.3700"
"000020","2015-12-31","53.4962"
"000020","2016-03-31","54.0100"
"000020","2016-06-30","54.1807"
"000020","2016-09-30","53.7900"
"000020","2016-12-31","53.4001"
"000020","2017-03-31","54.4911"
"000020","2017-06-30","57.3263"
"000020","2017-09-30","54.9000"
"000020","2017-12-31","54.0100"
"000020","2018-03-31","53.3700"
"000020","2018-06-30","54.7200"
"000020","2018-09-30","54.7300"
"000020","2018-12-31","54.8000"
"000020","2019-03-31","55.2900"
"000020","2019-06-30","55.7211"
"000020","2019-09-30","55.7300"
"000020","2019-12-31","55.6878"
"000021","2009-03-31","1.9120"
"000021","2009-06-30","83.1006"
"000021","2009-09-30","72.4155"
"000021","2009-12-31","82.2595"
"000021","2010-03-31","63.4181"
"000021","2010-06-30","89.9280"
"000021","2010-09-30","68.5371"
"000021","2010-12-31","82.1195"
"000021","2011-03-31","64.5050"
"000021","2011-06-30","76.3277"
"000021","2011-09-30","63.0410"
"000021","2011-12-31","64.0885"
"000021","2012-03-31","60.4000"
"000021","2012-06-30","73.7576"
"000021","2012-09-30","61.4610"
"000021","2012-12-31","64.7490"
"000021","2013-03-31","61.1000"
"000021","2013-06-30","60.0688"
"000021","2013-09-30","58.8200"
"000021","2013-12-31","63.6959"
"000021","2014-03-31","64.1120"
