Stkcd,Trdmnt,SUE
34,2010-06,.12393464
34,2010-09,-.073783576
34,2010-12,.46753418
34,2011-03,.51308531
34,2011-06,.54702604
34,2011-09,1.0347501
34,2011-12,-.20173083
34,2012-03,-1.3237995
34,2012-06,-1.0988241
34,2012-09,-.29989162
34,2012-12,-.81205517
34,2013-03,-.25172111
34,2013-06,-.4080691
34,2013-09,-.8672083
34,2013-12,-.17517444
34,2014-03,-.25331572
34,2014-06,-3.0851793
34,2014-09,-2.0745201
34,2014-12,-1.9637927
34,2015-03,-4.1035738
34,2015-06,-3.2098732
34,2015-09,-2.1192057
34,2015-12,-1.6176021
34,2016-03,.41523606
34,2016-06,13.260486
34,2016-09,5.9082394
34,2016-12,4.065587
34,2017-03,1.1015397
34,2017-06,1.606432
34,2017-09,1.7571874
34,2017-12,1.4760579
34,2018-03,.22960418
34,2018-06,.71598226
34,2018-09,.55985957
34,2018-12,1.4230419
34,2019-03,.1990203
34,2019-06,.41670355
34,2019-09,.73382044
34,2019-12,.8732338
35,2010-03,.61985725
35,2010-06,.13660748
35,2010-09,.052379068
35,2010-12,-.20019029
35,2011-03,.6019969
35,2011-06,-.33152795
35,2011-09,-1.1243767
35,2011-12,.21462218
35,2012-03,.14907286
35,2012-06,1.6803806
35,2012-09,2.2988362
35,2012-12,2.5461121
35,2013-03,-.42332652
35,2013-06,1.277669
35,2013-09,-.56369531
35,2013-12,2.6173346
35,2014-03,-.086527653
35,2014-06,.93928909
